,X,Y,isPhysics
0,2.724839128102861e-13,449.99999999999983,False
1,427.30246528918445,429.4370526239322,False
2,850.6558977211066,367.9382486102406,False
3,1266.1477605080945,266.07194601313944,False
4,1669.9381717132153,124.77957018979635,False
5,2058.2953915717167,-54.63308664014954,False
6,2427.6303103869413,-270.50793323130875,False
7,2774.5296182713646,-520.8499030172675,False
8,3095.7873501855142,-803.3453920651124,False
9,3388.434514742648,-1115.383640880342,False
10,3649.766532956454,-1454.0808624563451,False
11,3877.368233349083,-1816.3068935824767,False
12,4069.1361724203653,-2198.7141231053474,False
13,4223.298074197476,-2597.7684297948877,False
14,4338.4292092091155,-3009.7818438944014,False
15,4413.465561513445,-3430.9466305039477,False
16,4447.713662093061,-3857.3704798061344,False
17,4440.856997738997,-4285.112478914172,False
18,4392.9589361943035,-4710.219532898537,False
19,4304.462140523681,-5128.762898397307,False
20,4176.184478121434,-5536.874492174819,False
21,4009.3114621657655,-5930.782639073133,False
22,3805.38529537379,-6306.846928981838,False
23,3566.2906173124084,-6661.5918606859095,False
24,3294.237086985155,-6991.738961662859,False
25,2991.738961662861,-7294.237086985154,False
26,2661.591860685912,-7566.290617312407,False
27,2306.8469289818368,-7805.3852953737905,False
28,1930.7826390731339,-8009.311462165766,False
29,1536.874492174821,-8176.184478121433,False
30,1128.7628983973095,-8304.462140523681,False
31,710.219532898539,-8392.958936194304,False
32,285.1124789141736,-8440.856997738996,False
33,-142.6295201938647,-8447.713662093061,False
34,-569.0533694960512,-8413.465561513445,False
35,-990.2181561055988,-8338.429209209115,False
36,-1402.2315702051103,-8223.298074197475,False
37,-1801.2858768946508,-8069.136172420366,False
38,-2183.6931064175224,-7877.368233349083,False
39,-2545.919137543654,-7649.766532956454,False
40,-2884.616359119658,-7388.434514742649,False
41,-3196.6546079348873,-7095.787350185515,False
42,-3479.150096982732,-6774.5296182713655,False
43,-3729.4920667686897,-6427.630310386944,False
44,-3945.3669133598505,-6058.295391571717,False
45,-4124.779570189797,-5669.938171713217,False
46,-4266.071946013139,-5266.147760508097,False
47,-4367.93824861024,-4850.655897721108,False
48,-4429.437052623932,-4427.302465289187,False
49,-4450.0,-4000.000000000001,False
50,3550.0000000000005,4000.0,False
51,3533.5958509696543,4340.881741972271,False
52,3484.535007318282,4678.6131318898715,False
53,3403.270878280145,5010.072932540165,False
54,3290.554488578378,5332.197867321778,False
55,3147.427537624151,5642.010930354966,False
56,2975.212772366035,5936.648899297447,False
57,2775.5017627615057,6213.388796598505,False
58,2550.1401928469336,6469.673054642378,False
59,2301.2108033426493,6703.133152210427,False
60,2031.0141434337027,6911.611503819194,False
61,1742.0473096139797,7093.181399638033,False
62,1436.980868084499,7246.164811706135,False
63,1118.6341739838538,7369.147901887874,False
64,789.9493155449164,7460.994088245474,False
65,453.9639239799971,7520.854549072525,False
66,113.78310037937644,7548.176067512442,False
67,-227.44928093153055,7542.706144263694,False
68,-566.5796273684954,7504.495331121299,False
69,-900.4737728787505,7433.896763788554,False
70,-1226.0459431956417,7331.56289827665,False
71,-1540.2872738673311,7198.439481053589,False
72,-1840.293617502364,7035.756808668981,False
73,-2123.292383243816,6845.018357631247,False
74,-2386.668160427674,6627.986889617371,False
75,-2627.98688961737,6386.6681604276755,False
76,-2845.018357631246,6123.292383243818,False
77,-3035.756808668979,5840.293617502364,False
78,-3198.4394810535878,5540.287273867332,False
79,-3331.5628982766493,5226.045943195644,False
80,-3433.896763788555,4900.473772878753,False
81,-3504.495331121298,4566.579627368497,False
82,-3542.706144263694,4227.4492809315325,False
83,-3548.1760675124424,3886.2168996206256,False
84,-3520.854549072524,3546.036076020004,False
85,-3460.9940882454744,3210.0506844550846,False
86,-3369.147901887875,2881.3658260161483,False
87,-3246.1648117061354,2563.0191319155037,False
88,-3093.181399638033,2257.952690386022,False
89,-2911.6115038191942,1968.9858565662987,False
90,-2703.1331522104283,1698.7891966573518,False
91,-2469.6730546423773,1449.8598071530678,False
92,-2213.388796598505,1224.4982372384943,False
93,-1936.6488992974498,1024.7872276339665,False
94,-1642.0109303549655,852.5724623758501,False
95,-1332.1978673217795,709.445511421623,False
96,-1010.072932540168,596.7291217198556,False
97,-678.6131318898728,515.4649926817178,False
98,-340.88174197227266,466.4041490303467,False
99,-6.521244205459656e-13,449.99999999999983,False
