,X,Y,isPhysics
0,-6999.999999999998,-10000.0,False
1,-7896.393089034334,-9959.74293995239,False
2,-8785.568947986365,-9839.295885986297,False
3,-9660.368455666749,-9639.628606958533,False
4,-10513.748240813426,-9362.348706397373,False
5,-11338.83739117558,-9009.688679024192,False
6,-12128.99277405906,-8584.487936018662,False
7,-12877.852522924732,-8090.169943749474,False
8,-13579.387259397125,-7530.714660036109,False
9,-14227.948638273916,-6910.626489868648,False
10,-14818.314824680296,-6234.898018587337,False
11,-15345.732537213025,-5508.969814521027,False
12,-15805.95531856738,-4738.686624729988,False
13,-16195.277725514505,-3930.2503165392377,False
14,-16510.565162951534,-3090.169943749476,False
15,-16749.279121818236,-2225.209339563146,False
16,-16909.497617679346,-1342.3326581765566,False
17,-16989.930665413143,-448.64830350515103,False
18,-16989.930665413147,448.64830350514745,False
19,-16909.497617679346,1342.332658176553,False
20,-16749.279121818236,2225.2093395631423,False
21,-16510.565162951538,3090.169943749472,False
22,-16195.277725514505,3930.2503165392345,False
23,-15805.95531856738,4738.686624729985,False
24,-15345.732537213025,5508.969814521023,False
25,-14818.3148246803,6234.898018587333,False
26,-14227.948638273916,6910.626489868645,False
27,-13579.387259397126,7530.7146600361075,False
28,-12877.852522924733,8090.1699437494735,False
29,-12128.992774059065,8584.48793601866,False
30,-11338.837391175583,9009.68867902419,False
31,-10513.748240813427,9362.348706397372,False
32,-9660.368455666752,9639.628606958533,False
33,-8785.568947986369,9839.295885986297,False
34,-7896.393089034337,9959.74293995239,False
35,-7000.000000000002,10000.0,False
36,-7000.0,10000.0,False
37,-6124.999999999999,10000.0,False
38,-5249.999999999999,10000.0,False
39,-4375.0,10000.0,False
40,-3500.0,10000.0,False
41,-2624.9999999999995,10000.0,False
42,-1750.0000000000005,10000.0,False
43,-875.0000000000002,10000.0,False
44,0.0,10000.0,False
45,875.0000000000002,10000.0,False
46,1750.0000000000005,10000.0,False
47,2624.9999999999995,10000.0,False
48,3499.9999999999986,10000.0,False
49,4375.0,10000.0,False
50,5249.999999999999,10000.0,False
51,6125.0,10000.0,False
52,7000.0,10000.0,False
53,-7000.0,-10000.0,False
54,-6124.999999999999,-10000.0,False
55,-5249.999999999999,-10000.0,False
56,-4375.0,-10000.0,False
57,-3500.0,-10000.0,False
58,-2624.9999999999995,-10000.0,False
59,-1750.0000000000005,-10000.0,False
60,-875.0000000000002,-10000.0,False
61,0.0,-10000.0,False
62,875.0000000000002,-10000.0,False
63,1750.0000000000005,-10000.0,False
64,2624.9999999999995,-10000.0,False
65,3499.9999999999986,-10000.0,False
66,4375.0,-10000.0,False
67,5249.999999999999,-10000.0,False
68,6125.0,-10000.0,False
69,7000.0,-10000.0,False
70,7000.0,10000.0,False
71,7896.3930890343345,9959.74293995239,False
72,8785.568947986367,9839.295885986297,False
73,9660.36845566675,9639.628606958533,False
74,10513.748240813427,9362.348706397372,False
75,11338.83739117558,9009.688679024192,False
76,12128.99277405906,8584.48793601866,False
77,12877.852522924732,8090.169943749474,False
78,13579.387259397126,7530.714660036109,False
79,14227.948638273916,6910.626489868647,False
80,14818.314824680296,6234.898018587336,False
81,15345.732537213025,5508.969814521025,False
82,15805.95531856738,4738.686624729987,False
83,16195.277725514505,3930.250316539237,False
84,16510.565162951534,3090.1699437494744,False
85,16749.279121818236,2225.2093395631446,False
86,16909.497617679346,1342.3326581765555,False
87,16989.930665413143,448.64830350514984,False
88,16989.930665413147,-448.6483035051486,False
89,16909.497617679346,-1342.332658176554,False
90,16749.279121818236,-2225.209339563143,False
91,16510.565162951538,-3090.1699437494735,False
92,16195.277725514505,-3930.2503165392354,False
93,15805.95531856738,-4738.686624729986,False
94,15345.732537213025,-5508.969814521024,False
95,14818.3148246803,-6234.898018587335,False
96,14227.948638273916,-6910.626489868645,False
97,13579.387259397126,-7530.714660036108,False
98,12877.852522924732,-8090.1699437494735,False
99,12128.992774059061,-8584.48793601866,False
100,11338.837391175583,-9009.68867902419,False
101,10513.748240813427,-9362.348706397372,False
102,9660.368455666752,-9639.628606958533,False
103,8785.568947986367,-9839.295885986297,False
104,7896.393089034336,-9959.74293995239,False
105,7000.000000000001,-10000.0,False
